날짜,방송시간,상품코드,상품명
03.24,22:55,2244872081,안나수이 [ANNA SUI] 최신상 안나수이 변색 안경 AS5162-1
03.24,23:55,2231675358,동양생명 (무)우리WON하는보장보험
03.25,01:00,2247065416,라우라비아조띠 라우라비아조티 26SS Deveaux 니트 카라 퀄팅자켓
03.25,01:00,2247065686,라우라비아조띠 라우라비아조티 26SS 16GG 실크 블렌디드 5부 니트 2종
03.25,01:00,2247638192,"라우라비아조띠 라우라비아조티 26SS 아카이브 로마노 스니커즈129,000원 최대 무5월 25,800원무료배송"
03.25,02:00,2238230673,더케이예다함 예다함 상조서비스 다함 1호
03.25,21:45,2248345329,지프레세 [G.prese] 지프레세 26SS 플리츠 데님 재킷
03.25,21:45,2248360957,지프레세 [G.prese] 지프레세 26SS 플리츠 데님 팬츠
03.25,21:45,2248361606,"지프레세 [G.prese] 지프레세 26SS 패턴 블라우스129,000원 최대 무5월 25,800원무료배송"
03.25,21:45,2248361641,"지프레세 [G.prese] 지프레세 26SS 패턴 스커트169,000원 최대 무6월 28,166원무료배송"
03.25,21:45,2248361576,"지프레세 [G.prese] 지프레세 26SS 볼륨 스트링 블라우스119,000원 최대 무5월 23,800원무료배송"
03.25,02:50,2247059213,다이슨 [다이슨최신상/무이자60개월] 다이슨 스팟앤스크럽 Ai 로봇 청소기
03.25,03:10,2243542256,엔알랩 [입문패키지] 엔알랩 셀인엔알 앰플투크림EX 5개
03.25,03:10,2243620269,엔알랩 [조윤주패키지] 엔알랩 셀인엔알 앰플투크림EX 10개
03.25,03:10,2243545201,"엔알랩 [단품] 엔알랩 셀인엔알 앰플투크림EX 1개129,000원 카카오(KB국민)"
03.25,03:40,2245187213,칼만 [방송에서만] 칼만 통3중 스텐 저압냄비 풀세트 (4리터+6리터)
03.25,03:40,2245180277,칼만 [단품] 칼만 스텐 저압냄비 6리터
03.25,03:40,2245180388,"칼만 [단품] 칼만 스텐 저압냄비 4리터 79,000원 무료배송"
03.25,04:20,2245105187,흥국화재 (무)흥Good The 건강한 4565 종합보험
03.25,05:20,2248777697,메시제이 26SS 그레이스 블라우스 3종
03.25,05:20,2247868548,메시제이 [론칭가69900원] 메시제이 26SS FAUX 레더 재킷
03.25,06:15,2247065424,데이즈온 파라다이스 그레인 버닝 6박스 (12주분)
03.25,06:15,2247306432,데이즈온 파라다이스 그레인 버닝 3박스 (6주분)
03.25,07:15,2241634977,부하우스 이불 압축 파우치 더블세트 (특대형 4개 + 대형 2개)
03.25,07:15,2241635128,부하우스 이불 압축 파우치 싱글세트
